figure,panel,software,comparison,label_id,region,mean_abs_percent,max_abs_percent,n_subject_points_over_10pct
Figure 5,c,FreeSurfer,0.55T test-retest,77,WM-hypointensities,28.85489355331707,49.62243797195254,5
Figure 5,c,FreeSurfer,0.55T test-retest,85,Optic-Chiasm,12.762819185487212,25.25252525252526,3
Figure 5,c,FreeSurfer,0.55T test-retest,1006,ctx-lh-entorhinal,10.661230046640743,39.271781534460345,1
Figure 5,c,FreeSurfer,0.55T test-retest,1016,ctx-lh-parahippocampal,10.099672184879813,29.556074766355138,2
Figure 5,c,FreeSurfer,0.55T test-retest,2006,ctx-rh-entorhinal,16.166680653549992,35.89289665855277,3
Figure 5,c,FreeSurfer,0.55T test-retest,2032,ctx-rh-frontalpole,13.00450855252799,28.39335180055401,3
Figure 5,c,FreeSurfer,0.55T test-retest,2033,ctx-rh-temporalpole,10.452200451756388,21.16097159324824,2
Figure 5,d,FreeSurfer,3T test-retest,26,Left-Accumbens-area,14.809182587389241,25.32981530343007,3
Figure 5,d,FreeSurfer,3T test-retest,30,Left-vessel,29.379953379953385,100.0,4
Figure 5,d,FreeSurfer,3T test-retest,31,Left-choroid-plexus,11.835064005060296,30.651340996168575,3
Figure 5,d,FreeSurfer,3T test-retest,44,Right-Inf-Lat-Vent,10.459188628923123,24.434389140271488,2
Figure 5,d,FreeSurfer,3T test-retest,58,Right-Accumbens-area,10.193835280221029,15.410668924640131,3
Figure 5,d,FreeSurfer,3T test-retest,62,Right-vessel,74.86082949308755,200.0,5
Figure 5,d,FreeSurfer,3T test-retest,63,Right-choroid-plexus,13.691834923898693,23.183925811437405,4
Figure 5,d,FreeSurfer,3T test-retest,85,Optic-Chiasm,15.95883414382926,34.53815261044176,4
