category,count
Normal intracranial MRI,12
Ventriculomegaly,12
Callosal anomaly,2
Posterior fossa / cerebellar anomaly,1
CSP anomaly,1
Arachnoid cyst,1
Holoprosencephaly,1
Extra-cranial finding with normal brain,1
