structure,raw_mean,raw_sd,svr_mean,svr_sd
Corpus callosum,4.741935483870968,0.5754848353335861,4.612903225806452,1.1158679538021425
CSP,4.645161290322581,0.7549122287513162,4.354838709677419,1.2260610940942596
Ventricles / CSF,5.0,0.0,4.741935483870968,0.8550922732073567
Posterior fossa,4.967741935483871,0.1796053020267749,4.548387096774194,1.2339289465610612
