metric,raw_mean,raw_sd,svr_mean,svr_sd
Diagnostic confidence,4.709677419354839,0.5884186937375332,4.32258064516129,1.1071614388213236
Reading time (min),2.806451612903226,0.7924373724448588,2.4193548387096775,0.7648177799705886
